Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站)
70,72823172,娃娃歌商行,基隆市信義區信二路191號,100000,2018-05-01,2018-05-01,核准設立 - 獨資 (核准文號: 1070000890),,布疋、衣著、鞋、帽、傘、服飾品批發業,-1.128,15,25.129552,121.750631,"(25.129552, 121.750631)",11,基隆通訊處,False
71,42963956,綻場運動行銷有限公司,基隆市信義區東信里東信路236巷1之3號,1000000,2018-05-30,,解散 (核准解散日期: 2020-04-14),李瑞惠,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,16,25.128204,121.76216699999999,"(25.128204, 121.76216699999999)",11,基隆通訊處,False
72,54986878,通晟科技有限公司,基隆市中正區正榮街77巷7號,100000,2019-04-12,,核准設立,鄭秉偉,布疋、衣著、鞋、帽、傘、服飾品批發業、家具、寢具、廚房器具、裝設品批發業,-1.128,17,25.14636,121.761773,"(25.14636, 121.761773)",11,基隆通訊處,False
73,83540263,品鈊有限公司,基隆市信義區東信里花源三街56號,200000,2020-01-17,,核准設立,陳世維,食品什貨批發業、布疋、衣著、鞋、帽、傘、服飾品批發業,-1.0490000000000002,18,25.134023000000003,121.764321,"(25.134023000000003, 121.764321)",11,基隆通訊處,False
74,83559038,禾豊貿易有限公司,基隆市信義區東信里正信路227巷23弄22號5樓,1000000,2020-03-25,,核准設立,張正典,布疋、衣著、鞋、帽、傘、服飾品批發業、食品什貨批發業,-0.415,19,25.13459,121.76463400000002,"(25.13459, 121.76463400000002)",11,基隆通訊處,False
75,84395082,華邦工程顧問有限公司,基隆市信義區信一路133之2號4樓,6000000,1993-06-10,2016-09-05,核准設立,,室內裝潢業,3.362,1,25.129351999999997,121.747254,"(25.129351999999997, 121.747254)",11,基隆通訊處,False
76,98115982,群清工程行,基隆市信義區義民里信一路三Ｏ巷一三之三號四樓（限作辦公室使用）,50000,1999-07-30,2010-04-26,核准設立 - 獨資,,室內裝潢業,-0.644,2,25.128626999999998,121.75656399999998,"(25.128626999999998, 121.75656399999998)",11,基隆通訊處,False
77,12728358,三輪相室內裝修設計工程有限公司,基隆市中正區正榮街二五之三號四樓,2000000,2000-12-28,,核准設立,馮世賢,室內裝潢業,0.669,3,25.144157,121.761908,"(25.144157, 121.761908)",11,基隆通訊處,False
78,12903088,大雅室內裝修有限公司,基隆市中正區中正路12之2號2樓,1000000,2001-09-24,2011-05-10,核准設立,,室內裝潢業,-0.005,4,25.132538,121.74434199999999,"(25.132538, 121.74434199999999)",11,基隆通訊處,True
79,80872267,昱成室內裝修工程行,基隆市仁愛區愛三路8號1樓,230000,2003-05-21,2018-10-18,核准設立 - 獨資 (核准文號: 1070002129),,室內裝潢業,-0.523,5,25.127297,121.74193899999999,"(25.127297, 121.74193899999999)",11,基隆通訊處,False
