統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat_lon,配發公司,配發公司地址,lat,lon,推薦保險_1,推薦保險_2,公共安全責任保險,火災保險,接近險勿設施(加油站),recommand
10653824,景茂企業行,基隆市信義區仁壽里義五路９號１樓,200000,2008-07-07,2019-02-12,歇業 - 獨資 (核准文號: 1080000270),,五金批發業,-0.652,10,"(25.129081, 121.74909)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129081,121.74909,None,None,False,False,False,None
24350879,精港企業有限公司,基隆市中正區正濱路72號1樓,4100000,2009-02-05,,核准設立,蕭陳寶玉,五金批發業,1.706,11,"(25.153132, 121.769569)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.153132,121.769569,None,None,False,False,False,None
53272682,翔鷹消防工程有限公司,基隆市信義區東信路3巷22號,500000,2010-12-03,2016-04-12,核准設立,,五金批發業,-0.471,12,"(25.127426, 121.76782)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.127426,121.76782,None,None,False,False,False,None
54006939,玉穎貿易有限公司,基隆市中正區港通里義一路29號,500000,2012-11-07,2019-04-22,解散 (核准解散日期: 2019-10-16),,五金批發業,-0.471,13,"(25.133044, 121.74537)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133044,121.74537,None,火災保險,False,False,True,None
53956670,智方興業有限公司,基隆市信義區東信路127號,1000000,2012-12-05,2016-10-25,核准設立,,五金批發業,-0.168,14,"(25.128125, 121.763342)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128125,121.763342,None,None,False,False,False,None
39964544,丞宗企業行,基隆市中正區祥豐街148號1樓,240000,2013-12-05,2013-12-05,核准設立 - 獨資 (核准文號: 1020002458),,五金批發業,-0.628,15,"(25.143796, 121.766156)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.143796,121.766156,None,火災保險,False,False,True,None
50586386,達鋅商行,基隆市信義區義四路7號1樓,200000,2017-03-15,2019-11-26,核准設立 - 獨資 (核准文號: 1080002528),,五金批發業,-0.652,16,"(25.129281, 121.74778899999998)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129281,121.74778899999998,None,None,False,False,False,None
56605781,貞泰工程有限公司,基隆市信義區深溪路3-2號,100000,2017-03-31,,核准設立,簡彣霖,五金批發業,-0.713,17,"(25.130192, 121.781191)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.130192,121.781191,None,火災保險,False,False,True,None
56643814,翊時之選有限公司,基隆市中正區新豐街162巷39號6樓,2000000,2017-05-19,,核准設立,邱彥翊,五金批發業,0.436,18,"(25.14029, 121.783956)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.14029,121.783956,None,None,False,False,False,None
85218556,天翼企業社,基隆市中正區正義里正義路２９巷１３-１號,200000,2019-09-23,,核准設立 - 獨資 (核准文號: 1080002059),劉哲維,五金批發業,-0.652,19,"(25.133763, 121.747441)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133763,121.747441,None,None,False,False,False,None
872510,中美銀樓有限公司,基隆市仁愛區愛三路94號,2000000,1983-12-06,2011-05-26,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,1,"(25.128964, 121.743095)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128964,121.743095,None,火災保險,False,True,False,火災保險
80223377,貫利生態科技有限公司,基隆市信義區義六路5之5號5樓,500000,2002-08-02,2016-07-14,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.8109999999999999,2,"(25.129138, 121.750714)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129138,121.750714,None,火災保險,False,True,False,火災保險
27675604,三鼎服飾有限公司,基隆市仁愛區愛一路42號及43號1樓,3000000,2005-04-21,2013-07-23,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,3,"(25.129957, 121.741854)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129957,121.741854,None,火災保險,False,True,False,火災保險
27797249,豐喬國際有限公司,基隆市信義區仁壽里義三路4巷24號1樓,1000000,2005-05-24,2016-05-03,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,4,"(25.12943, 121.747602)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.12943,121.747602,None,火災保險,False,True,False,火災保險
27845404,美玲國際企業有限公司,基隆市中正區中正路２８３號１樓,1000000,2005-07-15,2016-04-15,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,5,"(25.145329, 121.761253)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.145329,121.761253,None,火災保險,False,True,False,火災保險
24381893,台灣渥瑪國際有限公司,基隆市中正區正砂里中正路185號,2000000,2009-04-03,2019-10-24,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,6,"(25.142618, 121.760497)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.142618,121.760497,None,火災保險,False,True,False,火災保險
53275267,基山國際鐘錶企業有限公司,基隆市仁愛區愛三路90號1樓,5000000,2010-12-09,2016-06-04,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,2.756,7,"(25.128915, 121.743042)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128915,121.743042,None,火災保險,False,True,False,火災保險
53290892,迎果國際有限公司,基隆市中正區中砂里中正路185號,2000000,2011-01-11,2016-02-25,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,8,"(25.142618, 121.760497)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.142618,121.760497,None,火災保險,False,True,False,火災保險
53807742,惠比壽國際企業有限公司,基隆市仁愛區仁德里愛三路36號1樓,1000000,2012-03-01,2017-08-02,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,9,"(25.127793, 121.742316)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.127793,121.742316,None,火災保險,False,True,False,火災保險
54809971,禾兆聯合開發科技有限公司,基隆市中正區中正路34號7樓之4,3000000,2014-05-06,2016-07-29,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,10,"(25.133379, 121.744927)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133379,121.744927,None,火災保險,False,True,True,火災保險
50583091,愛娜企業社,基隆市仁愛區仁二路225號,40000,2016-10-04,2016-12-22,核准設立 - 獨資 (核准文號: 1050002705),,布疋、衣著、鞋、帽、傘、服飾品批發業,-1.176,11,"(25.129194, 121.7437)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129194,121.7437,None,火災保險,False,True,False,火災保險
55957668,安庭設計有限公司,基隆市中正區中正路554號1樓,2000000,2016-12-27,2019-04-24,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,0.378,12,"(25.149992, 121.764688)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.149992,121.764688,None,火災保險,False,True,False,火災保險
57074972,安基倉儲物流有限公司,基隆市中正區新富里新豐街251巷2弄3號2樓,3000000,2017-08-22,,核准設立,周聖傑,布疋、衣著、鞋、帽、傘、服飾品批發業,1.171,13,"(25.136231, 121.788509)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.136231,121.788509,None,火災保險,False,True,False,火災保險
59045741,光永貿易有限公司,基隆市信義區東信里正信路227巷23弄20號2樓,1000000,2018-01-05,2020-03-19,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,14,"(25.134583, 121.764594)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.134583,121.764594,None,火災保險,False,True,False,火災保險
